course_title,course_difficulty,course_category
(ISC)² Systems Security Certified Practitioner (SSCP),Beginner,General Technology
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,Intermediate,Data Science
A Crash Course in Data Science,Mixed,Data Science
A Law Student's Toolkit,Mixed,General Technology
A Life of Happiness and Fulfillment,Mixed,General Technology
ADHD: Everyday Strategies for Elementary Students,Beginner,General Technology
AI For Everyone,Beginner,Data Science
AI For Medical Treatment,Intermediate,Data Science
AI Foundations for Everyone,Beginner,Data Science
AI for Medical Diagnosis,Intermediate,Data Science
AI for Medical Prognosis,Intermediate,Data Science
AI for Medicine,Intermediate,Data Science
AWS Fundamentals,Beginner,General Technology
AWS Fundamentals: Addressing Security Risk,Beginner,General Technology
AWS Fundamentals: Building Serverless Applications,Beginner,General Technology
AWS Fundamentals: Going Cloud-Native,Beginner,General Technology
AWS Fundamentals: Migrating to the Cloud,Intermediate,General Technology
Aboriginal Worldviews and Education,Mixed,General Technology
Academic English: Writing,Beginner,General Technology
Accelerated Computer Science Fundamentals,Intermediate,General Technology
Access Controls,Beginner,General Technology
Accounting Analytics,Mixed,Data Science
Accounting for Decision Making,Intermediate,General Technology
Achieving Personal and Professional Success,Beginner,General Technology
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Mixed,General Technology
Addiction Treatment: Clinical Skills for Healthcare Providers,Beginner,General Technology
Advanced Business Analytics,Intermediate,Data Science
Advanced Data Science with IBM,Advanced,Data Science
Advanced Machine Learning,Advanced,Data Science
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Advanced,Data Science
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Advanced,General Technology
Advertising and Society,Mixed,General Technology
Age of Cathedrals,Beginner,General Technology
Agile Development,Beginner,General Technology
Agile Meets Design Thinking,Beginner,General Technology
Agile with Atlassian Jira,Beginner,General Technology
Agile и Scrum в работе над проектами и продуктами,Beginner,General Technology
Algorithmic Toolbox,Intermediate,General Technology
Algorithms,Intermediate,General Technology
Algorithms for Battery Management Systems,Intermediate,General Technology
American Contract Law I,Beginner,General Technology
An Introduction to American Law,Beginner,General Technology
An Introduction to Consumer Neuroscience & Neuromarketing,Beginner,General Technology
An Introduction to Programming the Internet of Things (IOT),Beginner,General Technology
Analysing: Numeric and digital literacies,Beginner,General Technology
Anatomy,Beginner,General Technology
"Anatomy of the Chest, Abdomen, and Pelvis",Intermediate,General Technology
Anatomy: Musculoskeletal and Integumentary Systems,Beginner,General Technology
Ancient Philosophy: Aristotle and His Successors,Mixed,General Technology
Android App Development,Beginner,General Technology
Animal Behaviour and Welfare,Mixed,General Technology
Antibiotic Stewardship,Advanced,General Technology
Anticorrupción: Introducción a conceptos y perspectiva práctica,Beginner,General Technology
Antimicrobial resistance - theory and methods,Intermediate,General Technology
Applied Data Science,Beginner,Data Science
Applied Data Science Capstone,Intermediate,Data Science
Applied Data Science with Python,Intermediate,Data Science
Applied Machine Learning in Python,Intermediate,Data Science
"Applied Plotting, Charting & Data Representation in Python",Intermediate,Data Science
Aprende a programar con Python,Beginner,Data Science
Aprender,Mixed,General Technology
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),Beginner,General Technology
Architecting with Google Cloud Platform 日本語版,Intermediate,General Technology
Architecting with Google Compute Engine,Intermediate,General Technology
Architecting with Google Kubernetes Engine 日本語版,Beginner,General Technology
Arizona State University TESOL,Beginner,General Technology
Art & Activity: Interactive Strategies for Engaging with Art,Mixed,General Technology
Art & Ideas: Teaching with Themes,Mixed,General Technology
Arts and Culture Strategy,Mixed,General Technology
Arts and Heritage Management,Mixed,General Technology
Aspectos básicos de la planificación y la gestión de proyectos,Beginner,General Technology
Astrobiology and the Search for Extraterrestrial Life,Mixed,General Technology
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Intermediate,General Technology
Autism Spectrum Disorder,Mixed,General Technology
Autodesk CAD/CAM for Manufacturing,Intermediate,General Technology
Autodesk CAD/CAM/CAE for Mechanical Engineering,Intermediate,General Technology
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Advanced,General Technology
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Advanced,General Technology
BIM Fundamentals for Engineers,Beginner,General Technology
Basic Statistics,Beginner,General Technology
Bayesian Statistics: From Concept to Data Analysis,Intermediate,Data Science
Bayesian Statistics: Techniques and Models,Intermediate,General Technology
Become a CBRS Certified Professional Installer by Google,Mixed,General Technology
